Algorithm,Step,From Cylinder,To Cylinder,Distance (Cylinders),Cumulative THM
FCFS,1,53,98,45,45
FCFS,2,98,183,85,130
FCFS,3,183,37,146,276
FCFS,4,37,122,85,361
FCFS,5,122,14,108,469
FCFS,6,14,124,110,579
FCFS,7,124,65,59,638
FCFS,8,65,67,2,640
FCFS,9,67,190,123,763
FCFS,10,190,45,145,908
SSTF,1,53,45,8,8
SSTF,2,45,37,8,16
SSTF,3,37,14,23,39
SSTF,4,14,65,51,90
SSTF,5,65,67,2,92
SSTF,6,67,98,31,123
SSTF,7,98,122,24,147
SSTF,8,122,124,2,149
SSTF,9,124,183,59,208
SSTF,10,183,190,7,215
SCAN,1,53,65,12,12
SCAN,2,65,67,2,14
SCAN,3,67,98,31,45
SCAN,4,98,122,24,69
SCAN,5,122,124,2,71
SCAN,6,124,183,59,130
SCAN,7,183,190,7,137
SCAN,8,190,199,9,146
SCAN,9,199,45,154,300
SCAN,10,45,37,8,308
SCAN,11,37,14,23,331
C-SCAN,1,53,65,12,12
C-SCAN,2,65,67,2,14
C-SCAN,3,67,98,31,45
C-SCAN,4,98,122,24,69
C-SCAN,5,122,124,2,71
C-SCAN,6,124,183,59,130
C-SCAN,7,183,190,7,137
C-SCAN,8,190,199,9,146
C-SCAN,9,199,0,199,345
C-SCAN,10,0,14,14,359
C-SCAN,11,14,37,23,382
C-SCAN,12,37,45,8,390
LOOK,1,53,65,12,12
LOOK,2,65,67,2,14
LOOK,3,67,98,31,45
LOOK,4,98,122,24,69
LOOK,5,122,124,2,71
LOOK,6,124,183,59,130
LOOK,7,183,190,7,137
LOOK,8,190,45,145,282
LOOK,9,45,37,8,290
LOOK,10,37,14,23,313
C-LOOK,1,53,65,12,12
C-LOOK,2,65,67,2,14
C-LOOK,3,67,98,31,45
C-LOOK,4,98,122,24,69
C-LOOK,5,122,124,2,71
C-LOOK,6,124,183,59,130
C-LOOK,7,183,190,7,137
C-LOOK,8,190,14,176,313
C-LOOK,9,14,37,23,336
C-LOOK,10,37,45,8,344
