Step,Page Reference,FIFO_3_Frames,FIFO_3_Status,FIFO_4_Frames,FIFO_4_Status,LRU_3_Frames,LRU_3_Status,LRU_4_Frames,LRU_4_Status,OPT_3_Frames,OPT_3_Status,OPT_4_Frames,OPT_4_Status
1,7,"[7, None, None]",PAGE FAULT,"[7, None, None, None]",PAGE FAULT,"[7, None, None]",PAGE FAULT,"[7, None, None, None]",PAGE FAULT,"[7, None, None]",PAGE FAULT,"[7, None, None, None]",PAGE FAULT
2,0,"[7, 0, None]",PAGE FAULT,"[7, 0, None, None]",PAGE FAULT,"[7, 0, None]",PAGE FAULT,"[7, 0, None, None]",PAGE FAULT,"[7, 0, None]",PAGE FAULT,"[7, 0, None, None]",PAGE FAULT
3,1,"[7, 0, 1]",PAGE FAULT,"[7, 0, 1, None]",PAGE FAULT,"[7, 0, 1]",PAGE FAULT,"[7, 0, 1, None]",PAGE FAULT,"[7, 0, 1]",PAGE FAULT,"[7, 0, 1, None]",PAGE FAULT
4,2,"[0, 1, 2]",PAGE FAULT,"[7, 0, 1, 2]",PAGE FAULT,"[2, 0, 1]",PAGE FAULT,"[7, 0, 1, 2]",PAGE FAULT,"[2, 0, 1]",PAGE FAULT,"[7, 0, 1, 2]",PAGE FAULT
5,0,"[0, 1, 2]",HIT,"[7, 0, 1, 2]",HIT,"[2, 0, 1]",HIT,"[7, 0, 1, 2]",HIT,"[2, 0, 1]",HIT,"[7, 0, 1, 2]",HIT
6,3,"[1, 2, 3]",PAGE FAULT,"[0, 1, 2, 3]",PAGE FAULT,"[2, 0, 3]",PAGE FAULT,"[3, 0, 1, 2]",PAGE FAULT,"[2, 0, 3]",PAGE FAULT,"[3, 0, 1, 2]",PAGE FAULT
7,0,"[2, 3, 0]",PAGE FAULT,"[0, 1, 2, 3]",HIT,"[2, 0, 3]",HIT,"[3, 0, 1, 2]",HIT,"[2, 0, 3]",HIT,"[3, 0, 1, 2]",HIT
8,4,"[3, 0, 4]",PAGE FAULT,"[1, 2, 3, 4]",PAGE FAULT,"[4, 0, 3]",PAGE FAULT,"[3, 0, 4, 2]",PAGE FAULT,"[2, 4, 3]",PAGE FAULT,"[3, 0, 4, 2]",PAGE FAULT
9,2,"[0, 4, 2]",PAGE FAULT,"[1, 2, 3, 4]",HIT,"[4, 0, 2]",PAGE FAULT,"[3, 0, 4, 2]",HIT,"[2, 4, 3]",HIT,"[3, 0, 4, 2]",HIT
10,3,"[4, 2, 3]",PAGE FAULT,"[1, 2, 3, 4]",HIT,"[4, 3, 2]",PAGE FAULT,"[3, 0, 4, 2]",HIT,"[2, 4, 3]",HIT,"[3, 0, 4, 2]",HIT
11,0,"[2, 3, 0]",PAGE FAULT,"[2, 3, 4, 0]",PAGE FAULT,"[0, 3, 2]",PAGE FAULT,"[3, 0, 4, 2]",HIT,"[2, 0, 3]",PAGE FAULT,"[3, 0, 4, 2]",HIT
12,3,"[2, 3, 0]",HIT,"[2, 3, 4, 0]",HIT,"[0, 3, 2]",HIT,"[3, 0, 4, 2]",HIT,"[2, 0, 3]",HIT,"[3, 0, 4, 2]",HIT
13,2,"[2, 3, 0]",HIT,"[2, 3, 4, 0]",HIT,"[0, 3, 2]",HIT,"[3, 0, 4, 2]",HIT,"[2, 0, 3]",HIT,"[3, 0, 4, 2]",HIT
14,1,"[3, 0, 1]",PAGE FAULT,"[3, 4, 0, 1]",PAGE FAULT,"[1, 3, 2]",PAGE FAULT,"[3, 0, 1, 2]",PAGE FAULT,"[2, 0, 1]",PAGE FAULT,"[1, 0, 4, 2]",PAGE FAULT
15,2,"[0, 1, 2]",PAGE FAULT,"[4, 0, 1, 2]",PAGE FAULT,"[1, 3, 2]",HIT,"[3, 0, 1, 2]",HIT,"[2, 0, 1]",HIT,"[1, 0, 4, 2]",HIT
16,0,"[0, 1, 2]",HIT,"[4, 0, 1, 2]",HIT,"[1, 0, 2]",PAGE FAULT,"[3, 0, 1, 2]",HIT,"[2, 0, 1]",HIT,"[1, 0, 4, 2]",HIT
17,1,"[0, 1, 2]",HIT,"[4, 0, 1, 2]",HIT,"[1, 0, 2]",HIT,"[3, 0, 1, 2]",HIT,"[2, 0, 1]",HIT,"[1, 0, 4, 2]",HIT
18,7,"[1, 2, 7]",PAGE FAULT,"[0, 1, 2, 7]",PAGE FAULT,"[1, 0, 7]",PAGE FAULT,"[7, 0, 1, 2]",PAGE FAULT,"[7, 0, 1]",PAGE FAULT,"[1, 0, 7, 2]",PAGE FAULT
19,0,"[2, 7, 0]",PAGE FAULT,"[0, 1, 2, 7]",HIT,"[1, 0, 7]",HIT,"[7, 0, 1, 2]",HIT,"[7, 0, 1]",HIT,"[1, 0, 7, 2]",HIT
20,1,"[7, 0, 1]",PAGE FAULT,"[0, 1, 2, 7]",HIT,"[1, 0, 7]",HIT,"[7, 0, 1, 2]",HIT,"[7, 0, 1]",HIT,"[1, 0, 7, 2]",HIT
